injected_period,injected_t0,injected_depth,injected_snr,bls_period,bls_snr,bls_depth,period_error,period_ratio,is_recovered,overlap_fraction,precision,period_factor_type,success,period_range,trial,period_bin
10.027425635552303,6.958159562727716,0.008582497624930713,5,22.73260761643008,4.35386429909714,0.010543611585423388,12.705181980877777,2.2670432514434684,False,0.17391304347826086,0.26666666666666666,mismatch,True,short,0,"(10, 15]"
5.538314916998013,3.5312346315124543,0.006284294791668851,5,5.530872940963218,4.387517435180085,0.004726740150269806,0.007441976034795239,0.9986562743097265,True,0.75,0.7727272727272727,exact,True,short,1,"(5, 10]"
19.38891362774051,3.061449904686545,0.007195518558805943,5,0.706203029275639,-4.792896216952246,-0.001977401373724477,,,False,0.0,0.0,negative_depth,True,short,2,"(15, 20]"
11.157337140422047,0.9225117385841491,0.0034147322869110693,5,2.137625078222099,6.542263329496779,0.0024926832075507226,9.019712062199948,0.1915891804037786,False,0.044444444444444446,0.016260162601626018,fraction,True,short,3,"(10, 15]"
2.366175233309416,2.350984928484862,0.006948671223228909,5,0.8953722310880406,5.694082760499447,0.006065906434155648,1.4708030022213752,0.3784048698015242,False,0.06722689075630252,0.0365296803652968,mismatch,True,short,4,"(1, 5]"
9.013837015743425,4.390799408090373,0.0033824930975913433,5,0.6868782037155241,4.927475748191161,0.0011058292593373036,8.3269588120279,0.0762026429494824,False,0.10204081632653061,0.019305019305019305,mismatch,True,short,5,"(5, 10]"
18.761668460421028,5.4613390873309715,0.006078492764676811,5,0.5278712270777285,-7.1470881120118435,-0.0029294957299164986,,,False,0.0,0.0,negative_depth,True,short,6,"(15, 20]"
14.807147578631525,2.610775190272044,0.008372505100799198,5,1.566756404073033,4.260721817395186,0.004105159369749239,13.240391174558493,0.10581081844109184,False,0.14285714285714285,0.032679738562091505,mismatch,True,short,7,"(10, 15]"
16.04824577948645,2.649234766052556,0.007626301497986661,5,16.071033863970744,6.674251458581682,0.011330171004880629,0.02278808448429359,1.0014199735471039,True,0.9142857142857143,0.8888888888888888,exact,True,short,8,"(15, 20]"
1.8649074412199487,1.4497360308971254,0.008364650994519425,5,1.8663271194817967,6.910893095011039,0.008336089861321443,0.0014196782618480785,1.0007612593689472,True,0.7985611510791367,0.7928571428571428,exact,True,short,9,"(1, 5]"
1.3263484574220636,1.157649678715988,0.008802510311909127,5,1.3252583962293611,6.315948082074935,0.012057132121574776,0.0010900611927024961,0.9991781487085066,True,0.85,0.85,exact,True,short,10,"(1, 5]"
17.275478947589654,3.802349810416603,0.006999549601890499,5,17.212627627560988,5.2806097452364185,0.005226538371248806,0.06285132002866689,0.9963618189562591,True,0.6486486486486487,0.6666666666666666,exact,True,short,11,"(15, 20]"
8.521561729298634,3.1353107050589513,0.003384078381920904,5,4.25636601997399,6.942196034935868,0.004073015721528185,4.265195709324644,0.4994819207070756,False,0.7659574468085106,0.46153846153846156,fraction,True,short,12,"(5, 10]"
10.465456023062611,4.3391617284706,0.009733649910913593,5,1.873592718279932,6.095174422162321,0.004313609218031777,8.59186330478268,0.17902638109138447,False,0.08695652173913043,0.02962962962962963,mismatch,True,short,13,"(10, 15]"
5.9210615499895916,3.3460567858527175,0.008212880368147879,5,0.8842384986328712,-6.3273808824256434,-0.0055937373065415375,,,False,0.0,0.0,negative_depth,True,short,14,"(5, 10]"
4.544164809654731,1.7114947189099814,0.00941732194829318,5,0.7200161887714922,5.8578604158018495,0.005267650225177037,3.824148620883239,0.1584485200100389,False,0.09090909090909091,0.026515151515151516,mismatch,True,short,15,"(1, 5]"
2.1747096379055626,1.7622773276014505,0.0036224277867313442,5,0.5599940497464757,-5.814103362959861,-0.002630226785745956,,,False,0.0,0.0,negative_depth,True,short,16,"(1, 5]"
9.465341832568603,0.7108772512692706,0.009472526327312134,5,0.7945357198745119,-5.55313660475937,-0.0038027890523418834,,,False,0.0,0.0,negative_depth,True,short,17,"(5, 10]"
3.8850581631760415,0.8712615419837333,0.006756186602179177,5,3.887150758804592,6.9049827251536575,0.006394575362546349,0.0020925956285506864,1.0005386265895284,True,0.7954545454545454,0.7954545454545454,exact,True,short,18,"(1, 5]"
6.005304778891825,1.764930069439132,0.005594235339320073,5,0.7642302980527732,-6.163836163187133,-0.0037463277807915562,,,False,0.0,0.0,negative_depth,True,short,19,"(5, 10]"
18.418790707178086,4.369267689400774,0.006584592658405414,5,13.700013035008041,5.743172161195031,0.006108561722892257,4.718777672170045,0.743806325442904,False,0.19444444444444445,0.16666666666666666,mismatch,True,short,20,"(15, 20]"
14.062488199745118,4.358794182154263,0.009036830521545615,5,0.7383855988887561,4.892976350178435,0.0036419743889920275,13.324102600856362,0.052507464425971165,False,0.3611111111111111,0.05078125,mismatch,True,short,21,"(10, 15]"
5.066238019745426,2.2327978940105266,0.007698495485134505,5,0.509987805061859,5.535125810891328,0.0029888231541875237,4.556250214683567,0.10066400415341825,False,0.125,0.02735562310030395,mismatch,True,short,22,"(5, 10]"
9.06985800305119,3.793255885783245,0.0061691069590772965,5,1.8547800985239082,3.9602405065947304,0.0019582838820104433,7.2150779045272815,0.20449935356208906,False,0.0784313725490196,0.03007518796992481,fraction,True,short,23,"(5, 10]"
2.0160294237857634,1.9258756617313157,0.005914069983957218,5,2.0160883508425047,5.761550995811874,0.006490173521124682,5.892705674126475e-05,1.000029229264239,True,0.8661417322834646,0.859375,exact,True,short,24,"(1, 5]"
